FEEDBACK,SELLER NAME,PRODUCT NAME,PRODUCT PRICE
Good Seller - Item as Advertised - Quick Ship,null,Canon PG-240XL Ink Cartridge - Black (#,US $24.98
Thank you for an easy- pleasant transaction. Excellent buyer. ~adidas_official,adidas_official,null,null
Thank you for an easy- pleasant transaction. Excellent buyer. ~adidas_official,adidas_official,null,null
Thank you for an easy- pleasant transaction. Excellent buyer. ~adidas_official,adidas_official,null,null
Thank you for an easy- pleasant transaction. Excellent buyer. ~adidas_official,adidas_official,null,null
Speedy and product exactly  as described. Great seller!,null,Brand New Apple iPad 32GB - Space Grey (2017 Model) (#,US $246.96
fast shipping- item as advertised ,null,Brand New Apple iPad 32GB - Space Grey (2017 Model) (#,US $269.96
Thank you!!  Item like described.  Great Seller! ,null,Brand New Apple iPad 5th Gen. 32GB- Wi-Fi- 9.7in - Gold (#274146207819),US $239.98
Great value and as advertised,null,Brand New Apple iPad 32GB - Space Grey (2017 Model) (#223793534018),US $249.96
Great seller.  Item was as advertised.,null,Brand New Apple iPad 5th Gen. 32GB- Wi-Fi- 9.7in - Gold (#223793532311),US $238.98
Great seller good to have a business with you,null,Brand New Apple iPad 5th Gen. 32GB- Wi-Fi- 9.7in - Gold (#274146207819),US $239.98
Thanks,null,Nintendo Switch - 32GB Gray Console - (with Gray Joy-Cons) (#223775664915),US $324.89
Love the item!!,null,Brand New Apple iPad 5th Gen. 32GB- Wi-Fi- 9.7in - Gold (#223793532311),US $238.98
Excellent ebayer- would buy again. Fast Shipping!,null,Apple iPad mini 4 128GB- Wi-Fi- 7.9in - Gold (#223787251107),US $318.98
Fast shipping- product was as described.,null,Nintendo Switch - 32GB Gray Console (with Neon Red/Neon Blue Joy-Con) (#273599256653),US $324.98
Fast shipment.  Recommended seller.,null,Apple iPad 32GB - Space Grey (2017 Model) (#273558185029),US $250.98
A+++++seller. Vertrauenswürdige Verkäufer! ,null,Moto Insta-Share Projector (#223750258952),US $99.98
Quick response and fast payment. Perfect! THANKS!! ~adidas_official,adidas_official,null,null
Great communication. A pleasure to do business with. ~adidas_official,adidas_official,null,null
Thank you so much for sharing eBay with us.  PayPal Digital Gifts,paypal_digital_gifts,null,null
Professional company. Would recommend to anyone. Great item. ,null,Apple iPad mini 4 128GB- Wi-Fi- 7.9in - Space Gray (#273581498778),US $329.98
Thks,null,Nintendo Switch - 32GB Gray Console (with Neon Red/Neon Blue Joy-Con) (#273590818098),US $329.98
FRAUD SELLER-CANCELLD ORDER WITHOUT INFORMING ME-NEVER SHIPPED THE ITEM-AVOID,null,Nintendo Switch - 32GB Gray Console - (with Gray Joy-Cons) (#273558251620),US $329.89
Good buyer- prompt payment- valued customer- highly recommended.,dirtdevil,null,null
Received an awesome new laptop! Loving it so much! Thank you!!,null,Lenovo IdeaPad 110s 11.6" (32GB- Intel Celeron N- 2.60GHz- 2GB) Laptop - White (#223224740841),US $149.98
Terrible seller- NOT RECOMMENDED- BEWARE!,null,Nintendo Switch - 32GB Gray Console - (with Gray Joy-Cons) (#273558251620),US $329.89
Crocs approved! Super fast payment. Prompt response. Come back soon.,crocsoutlet,null,null
Crocs approved! Super fast payment. Prompt response. Come back soon.,crocsoutlet,null,null
Great service Thanks!!!,null,Google Chromecast (2nd Generation) HD Media Streamer - Black (#273510110836),US $34.98
Great Product -- Fast Shipping -- No Problems!,null,Lenovo IdeaPad 110s 11.6" (32GB- Intel Celeron N- 2.60GHz- 2GB) Laptop - White (#223206750174),US $149.98
Thank you for an easy- pleasant transaction. Excellent buyer. ~adidas_official,adidas_official,null,null
Great communication. A pleasure to do business with. ~adidas_official,adidas_official,null,null
